OrderID,OrderDate,CustomerName,Product,Category,Quantity,Price,City,State,PaymentMethod
100001,2024-02-17,Unknown,Laptop,Electronics,1.0,199.99,Bengaluru,Karnataka,Unknown
100003,2024-03-20,Unknown,Iphone,Electronics,3.0,49.0,Bengaluru,Karnataka,UPI
100008,2024-12-18,Priya,Iphone,Electronics,3.0,1500.0,Bengaluru,Karnataka,UPI
100016,2024-09-16,  Rahul  ,Laptop,Electronics,3.0,1500.0,Unknown,Unknown,Unknown
100023,2024-09-05,Unknown,Laptop,Electronics,3.0,1500.0,Delhi,Delhi,Unknown
100035,2024-05-25,John,Iphone,Electronics,2.0,49.0,Mumbai,Maharashtra,Cash
100043,2025-05-14,Unknown,Headphones,Electronics,2.0,999.5,Delhi,Delhi,Cash
100059,2024-08-21,Amit,Chair,Furniture,2.0,199.99,Unknown,Unknown,Unknown
100061,2025-01-19,  Rahul  ,Bottle,Home,4.0,49.0,Bengaluru,Karnataka,Unknown
100085,2024-03-02,Amit,Iphone,Electronics,2.0,49.0,Unknown,Unknown,Cash
100105,2025-05-13,Unknown,Chair,Furniture,1.0,199.99,Bengaluru,Karnataka,UPI
100131,2024-12-11,Priya,Headphones,Electronics,3.0,199.99,Unknown,Unknown,Unknown
100138,2025-02-06,Amit,Laptop,Electronics,2.0,999.5,Guwahati,Assam,Card
100141,2024-01-27,John,Headphones,Electronics,2.0,49.0,Mumbai,Maharashtra,UPI
100181,2024-04-02,Unknown,Iphone,Electronics,2.0,999.5,Bengaluru,Karnataka,Cash
100248,2024-11-29,John,Desk,Furniture,1.0,199.99,Unknown,Unknown,UPI
100257,2024-11-10,Amit,Bottle,Home,3.0,49.0,Unknown,Unknown,Card
100263,2025-01-16,Amit,Bottle,Home,3.0,199.99,Bengaluru,Karnataka,Cash
100273,2024-10-12,Priya,Iphone,Electronics,3.0,199.99,Guwahati,Assam,NetBanking
100275,2025-03-10,Sara,Chair,Furniture,4.0,999.5,Unknown,Unknown,NetBanking
100283,2024-03-19,Unknown,Headphones,Electronics,4.0,49.0,Unknown,Unknown,Card
100298,2024-08-11,Unknown,Headphones,Electronics,1.0,199.99,Guwahati,Assam,Unknown
100301,2024-07-13,Amit,Bottle,Home,3.0,999.5,Mumbai,Maharashtra,UPI
100305,2024-07-13,Unknown,Iphone,Electronics,2.0,1500.0,Unknown,Unknown,NetBanking
100317,2024-09-18,Amit,Laptop,Electronics,3.0,999.5,Mumbai,Maharashtra,Unknown
100339,2025-03-19,John,Laptop,Electronics,2.0,1500.0,Unknown,Unknown,Card
100345,2025-04-20,Unknown,Laptop,Electronics,1.0,199.99,Bengaluru,Karnataka,NetBanking
100352,2025-01-18,John,Chair,Furniture,2.0,1500.0,Unknown,Unknown,NetBanking
100358,2024-05-14,Amit,Laptop,Electronics,1.0,199.99,Unknown,Unknown,UPI
100363,2024-01-06,Amit,Laptop,Electronics,2.0,1500.0,Unknown,Unknown,Unknown
100366,2024-09-12,Priya,Chair,Furniture,3.0,199.99,Unknown,Unknown,UPI
100379,2024-02-24,Sara,Iphone,Electronics,1.0,999.5,Unknown,Unknown,UPI
100388,2024-11-10,John,Desk,Furniture,2.0,199.99,Bengaluru,Karnataka,Unknown
100399,2024-03-10,Amit,Headphones,Electronics,3.0,49.0,Guwahati,Assam,NetBanking
